count,meanpop,sumhom,rate
1,2062392.0833,80,38.789908401
2,2066453.0909,68,32.90662648
3,2070507.75,61,29.461372458
4,2074568.9091,55,26.511531991
5,2078898.6667,75,36.076794508
6,2082959.8182,45,21.6038733
7,2087289.6667,59,28.266321126
8,2091554,74,35.380391804
9,2095615,50,23.859344393
10,2099945,90,42.858265336
11,2104006,70,33.269867101
12,2108335.75,73,34.624466241
13,2112608.6667,69,32.661041815
14,2116687,53,25.039129545
15,2120897.0833,75,35.362394804
16,2124975.1818,62,29.176811348
17,2129323.5,64,30.056494469
18,2133401.8182,59,27.6553622
19,2137750.0833,69,32.276925417
20,2142032.25,51,23.809165338
21,2146110.6364,61,28.423511336
22,2150458.9167,75,34.876276603
23,2154537.0909,72,33.417851242
24,2158885.25,63,29.181727005
25,2163203.25,65,30.048031779
26,2167352.6364,62,28.606327812
27,2171495.5,68,31.314824277
28,2175644.9091,62,28.497297395
29,2180068.9167,62,28.439467911
30,2184218.2727,76,34.79505732
31,2188642.4167,59,26.957350159
32,2192999.4167,71,32.375749606
33,2197148.7273,61,27.763254823
34,2201572.75,58,26.344802823
35,2205722.0909,66,29.922173909
36,2210146.25,81,36.649158398
37,2214524.5,95,42.898599677
38,2218716.7273,64,28.845502994
39,2222901.5,67,30.140786715
40,2227093.7273,49,22.001768224
41,2231563.4167,79,35.401189771
42,2235754.7273,63,28.178404022
43,2240224.5,57,25.443878504
44,2244626.4167,72,32.076607254
45,2248817.7273,59,26.236008052
46,2253287.5,51,22.633596467
47,2257479.7273,66,29.236142944
48,2261948.5,66,29.178383151
49,2266373.6667,75,33.092512988
50,2270611.9091,75,33.030743695
51,2274843.5833,66,29.012983786
52,2279081.8182,50,21.938659508
53,2283600.75,66,28.901724612
54,2287838.9091,60,26.225622688
55,2292357.8333,65,28.35508447
56,2296808.0833,63,27.42937055
57,2301046.3636,55,23.902169408
58,2305565.1667,82,35.566116797
59,2309803.5455,68,29.439733147
60,2314322.25,105,45.369654118
61,2318792.75,101,43.557148434
62,2323071.1818,72,30.993454081
63,2327487.8333,64,27.497458454
64,2331766.4545,53,22.729549049
65,2336328.0833,62,26.537368806
66,2340606.6364,71,30.33401636
67,2345168.3333,89,37.950367458
68,2349660.75,76,32.345094925
69,2353939.3636,72,30.587024081
70,2358500.9167,58,24.591892074
71,2362779.5455,68,28.779663397
72,2367341.1667,70,29.569037613
73,2371865.5833,75,31.620678898
74,2376207.9091,50,21.041929794
75,2380543.4167,46,19.32331907
76,2384885.8182,65,27.254973594
77,2389515.4167,46,19.250765105
78,2393857.8182,52,21.722259194
79,2398487.4167,52,21.680330544
80,2403047.0833,66,27.465129775
81,2407389.1818,52,21.600163527
82,2412019.0833,44,18.241978392
83,2416361.2727,42,17.381506844
84,2420991.0833,47,19.413537011
85,2425275.5,51,21.02853882
86,2429067.1818,41,16.878907388
87,2432853,52,21.374082199
88,2436644.7273,40,16.41601648
89,2440687.4167,55,22.534634966
90,2444479.1818,49,20.045169689
91,2448521.9167,66,26.955037466
92,2452503.25,41,16.717612912
93,2456295.0909,39,15.877571121
94,2460337.75,52,21.135309573
95,2464129.3636,66,26.78430807
96,2468172,44,17.826958575
97,2472322.75,65,26.29106576
98,2476453.1818,49,19.786362351
99,2480577.3333,44,17.737806199
100,2484707.7273,62,24.952632988
101,2489111.5833,60,24.104986053
102,2493242,55,22.059631596
103,2497645.8333,54,21.620359172
104,2501982.9167,34,13.589221482
105,2506113.3636,41,16.359994163
106,2510517.3333,37,14.737998224
107,2514647.8182,33,13.123110028
108,2519051.6667,56,22.230588098
109,2523388.75,57,22.588671682
110,2527519.1818,35,13.847570476
111,2531783.1667,33,13.034291575
112,2535913.6364,36,14.196067044
113,2540317.5,37,14.565108495
114,2544447.9091,46,18.078578003
115,2548851.75,54,21.186010524
116,2553188.9167,49,19.191686005
